id,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,availability_365
1055703,2712718,Sabrine,De Baarsjes - Oud-West,52.36051,4.86451,Entire home/apt,267,279
1057494,1899420,Rosie,Zuid,52.34746,4.87559,Private room,62,7
1064108,5796250,Remco,Centrum-West,52.38302,4.8869,Entire home/apt,99,247
1068565,5878526,Petra,IJburg - Zeeburgereiland,52.360640000000004,4.976430000000001,Entire home/apt,135,344
1069142,3529778,Gijs,Centrum-West,52.372279999999996,4.89668,Private room,100,354
1071414,5893654,Joke,Oud-Oost,52.35764,4.9067,Entire home/apt,125,279
1072171,5897418,Jasper,Bos en Lommer,52.37729,4.860530000000001,Entire home/apt,106,339
1086795,3899684,City Apartments Amsterdam,Centrum-Oost,52.36218,4.89768,Private room,133,45
1088859,126790,Christopher,De Baarsjes - Oud-West,52.36688,4.8768400000000005,Entire home/apt,100,5
1095819,6020988,Imke,Oud-Oost,52.35696,4.92971,Entire home/apt,180,0
1100569,5134833,Andre,Osdorp,52.35622,4.79544,Private room,80,308
1102846,6057160,Richard,Centrum-Oost,52.364740000000005,4.90273,Entire home/apt,130,0
1105128,6063077,Stijn,Centrum-Oost,52.373090000000005,4.90845,Private room,116,329
1105924,6072512,Pascale,Watergraafsmeer,52.353390000000005,4.9423699999999995,Entire home/apt,250,1
1106466,6074859,Truus,Gaasperdam - Driemond,52.30573,5.01471,Private room,41,346
1109494,5037898,Ruben,De Baarsjes - Oud-West,52.36262,4.8730400000000005,Entire home/apt,250,342
1113862,6113063,Geraldien,De Pijp - Rivierenbuurt,52.35174,4.89701,Entire home/apt,85,0
1116446,6127483,Daniella,Bos en Lommer,52.37871,4.8468800000000005,Private room,40,159
1145140,6101182,Richard,Zuid,52.3537,4.8863199999999996,Entire home/apt,102,0
1149380,6300541,D.,Bijlmer-Centrum,52.31774,4.94647,Private room,46,329
1149694,6302268,Susan,Bos en Lommer,52.38231,4.84866,Entire home/apt,75,0
1155251,5796250,Remco,Centrum-West,52.38295,4.88854,Entire home/apt,100,212
1155386,6299692,Mirjam,De Pijp - Rivierenbuurt,52.34227,4.91217,Entire home/apt,99,308
1156220,2748180,Cristina,De Baarsjes - Oud-West,52.36874,4.86693,Entire home/apt,300,2
1158662,5331982,Dirk,De Baarsjes - Oud-West,52.36042,4.86161,Entire home/apt,285,19
1162769,6368949,Hans En Sietske,Oud-Oost,52.35823,4.92035,Entire home/apt,295,325
1174506,6428213,Roel,De Pijp - Rivierenbuurt,52.350429999999996,4.90079,Entire home/apt,120,38
1182421,3136773,Myrthe,Oud-Noord,52.392590000000006,4.91565,Entire home/apt,110,13
1182656,6469558,Marc,Oud-Oost,52.3589,4.913069999999999,Entire home/apt,120,22
1187004,2687994,Michael,Zuid,52.352059999999994,4.85149,Entire home/apt,130,0
1195666,6534317,Willemijne,De Baarsjes - Oud-West,52.36501,4.87918,Entire home/apt,263,140
1196088,6536417,Wanka,Oud-Noord,52.38827,4.9461699999999995,Entire home/apt,88,156
1201952,6565457,Ekaterina,Oostelijk Havengebied - Indische Buurt,52.3639,4.9381699999999995,Entire home/apt,80,0
1223171,6673715,Valeria,De Baarsjes - Oud-West,52.367088,4.863511,Private room,90,336
1224695,6673713,Nynke,De Baarsjes - Oud-West,52.370059999999995,4.85853,Entire home/apt,150,47
1225622,6449836,Tamara,De Baarsjes - Oud-West,52.359359999999995,4.86001,Entire home/apt,160,65
1232048,5646154,Reinhart,Oud-Noord,52.38418,4.90779,Private room,73,273
1246242,6739095,Martine,Oud-Noord,52.392379999999996,4.92899,Entire home/apt,299,12
1250364,6338151,Dorien,De Pijp - Rivierenbuurt,52.35263,4.89093,Entire home/apt,260,45
1250716,6804135,Lucas,De Baarsjes - Oud-West,52.36647,4.851380000000001,Entire home/apt,180,0
1260229,6863370,Lilian,Centrum-West,52.383,4.89161,Entire home/apt,160,0
1262157,6873206,Marlous & Michiel,Zuid,52.357490000000006,4.87699,Entire home/apt,399,72
1267645,6900127,Tjalling,Centrum-Oost,52.366890000000005,4.91809,Entire home/apt,250,0
1271700,2826060,Barbara,De Baarsjes - Oud-West,52.360620000000004,4.86901,Entire home/apt,250,2
1272352,6925102,Marcel,Bos en Lommer,52.375370000000004,4.86019,Private room,108,220
1279735,2714856,Dicky,De Pijp - Rivierenbuurt,52.35787,4.89561,Entire home/apt,225,96
1283694,6983618,Irene,De Baarsjes - Oud-West,52.37108,4.86388,Entire home/apt,100,0
1291054,4615590,Marta,Noord-West,52.423970000000004,4.8886400000000005,Hotel room,69,347
1300625,6077182,Jan,De Pijp - Rivierenbuurt,52.354440000000004,4.896719999999999,Entire home/apt,225,28
1302771,7083037,Stephanie,De Baarsjes - Oud-West,52.3667,4.86635,Entire home/apt,350,19
1308382,7113252,Melle,De Baarsjes - Oud-West,52.36518,4.8665199999999995,Entire home/apt,155,263
1311373,7126883,Richard,De Baarsjes - Oud-West,52.37108,4.87389,Entire home/apt,500,1
1315392,5796250,Remco,Centrum-West,52.38123,4.88619,Entire home/apt,101,260
1316990,5796250,Remco,Centrum-West,52.38145,4.8849,Entire home/apt,175,43
1320353,5796250,Remco,Centrum-West,52.3815,4.8853800000000005,Entire home/apt,130,281
1320438,5796250,Remco,Centrum-West,52.3814,4.88553,Entire home/apt,120,294
1321735,5796250,Remco,Centrum-West,52.38295,4.88765,Entire home/apt,99,251
1323521,5720215,Julian,Westerpark,52.37639,4.87637,Entire home/apt,175,0
1328500,7209768,Samira,De Baarsjes - Oud-West,52.36871,4.87207,Entire home/apt,400,99
1331157,7218607,Job En Suzanne,IJburg - Zeeburgereiland,52.34861,5.00784,Entire home/apt,193,65
1338064,2968287,Christopher,Oostelijk Havengebied - Indische Buurt,52.35938,4.93618,Private room,64,0
1338633,7259166,Mirjam,Oud-Noord,52.393190000000004,4.9435,Private room,59,123
1350096,4905127,Toetsie,Oud-Oost,52.35719,4.921930000000001,Private room,140,247
1350246,4905127,Toetsie,Oud-Oost,52.35719,4.921930000000001,Private room,111,352
1354077,6701188,Nikita,Centrum-Oost,52.37141,4.90353,Entire home/apt,135,105
1355777,7358924,Saskia,De Baarsjes - Oud-West,52.36495,4.87367,Entire home/apt,175,12
1358042,7371529,Ton,Noord-Oost,52.3809,4.9652199999999995,Private room,75,339
